"cocktail_no","generation","solution_component_no","concentration","units","name","ph"
"C0732",8,3,20,"% (w/v)","polyethylene glycol 1000",6
"C0733",8,1,0.1,"M","Potassium thiocyanate",10
"C0733",8,2,0.1,"M","CAPS",10
"C0733",8,3,20,"% (w/v)","polyethylene glycol 1000",10
"C0734",8,1,0.1,"M","Potassium thiocyanate",8
"C0734",8,2,0.1,"M","Tris",8
"C0734",8,3,20,"% (w/v)","polyethylene glycol 1000",8
"C0735",8,1,0.1,"M","Rubidium chloride",6
"C0735",8,2,0.1,"M","MES monohydrate",6
"C0735",8,3,20,"% (w/v)","polyethylene glycol 1000",6
"C0736",8,1,0.1,"M","Rubidium chloride",9
"C0736",8,2,0.1,"M","TAPS",9
"C0736",8,3,20,"% (w/v)","polyethylene glycol 1000",9
"C0737",8,1,0.1,"M","Sodium bromide",7
"C0737",8,2,0.1,"M","Bis-Tris Propane",7
"C0737",8,3,20,"% (w/v)","polyethylene glycol 1000",7
"C0738",8,1,0.1,"M","Sodium bromide",4.2
"C0738",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0738",8,3,20,"% (w/v)","polyethylene glycol 1000",4.2
"C0739",8,1,0.1,"M","Sodium chloride",10
"C0739",8,2,0.1,"M","CAPS",10
"C0739",8,3,20,"% (w/v)","polyethylene glycol 1000",10
"C0740",8,1,0.1,"M","Sodium molybdate dihydrate",9
"C0740",8,2,0.1,"M","TAPS",9
"C0740",8,3,20,"% (w/v)","polyethylene glycol 1000",9
"C0741",8,1,0.1,"M","Sodium molybdate dihydrate",7.5
"C0741",8,2,0.1,"M","HEPES",7.5
"C0741",8,3,20,"% (w/v)","polyethylene glycol 1000",7.5
"C0742",8,1,0.1,"M","Sodium nitrate",7
"C0742",8,2,0.1,"M","Bis-Tris Propane",7
"C0742",8,3,20,"% (w/v)","polyethylene glycol 1000",7
"C0743",8,1,0.1,"M","Sodium nitrate",8
"C0743",8,2,0.1,"M","Tris",8
"C0743",8,3,20,"% (w/v)","polyethylene glycol 1000",8
"C0744",8,1,0.1,"M","Sodium phosphate monobasic",7.5
"C0744",8,2,0.1,"M","HEPES",7.5
"C0744",8,3,20,"% (w/v)","polyethylene glycol 1000",7.5
"C0745",8,1,0.1,"M","Sodium thiosulfate pentahydrate",8
"C0745",8,2,0.1,"M","Tris",8
"C0745",8,3,20,"% (w/v)","polyethylene glycol 1000",8
"C0746",8,1,0.1,"M","Zinc acetate dihydrate",5
"C0746",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0746",8,3,20,"% (w/v)","polyethylene glycol 1000",5
"C0747",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",8
"C0747",8,2,0.1,"M","Tris",8
"C0747",8,3,20,"% (w/v)","polyethylene glycol 1000",8
"C0748",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",4.2
"C0748",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0748",8,3,20,"% (w/v)","polyethylene glycol 1000",4.2
"C0749",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",10
"C0749",8,2,0.1,"M","CAPS",10
"C0749",8,3,20,"% (w/v)","polyethylene glycol 1000",10
"C0750",8,1,0.1,"M","Cobalt (II) sulfate heptahydrate",8
"C0750",8,2,0.1,"M","Tris",8
"C0750",8,3,10,"% (w/v)","polyethylene glycol 1000",8
"C0751",8,1,0.1,"M","Cobalt (II) sulfate heptahydrate",7
"C0751",8,2,0.1,"M","Bis-Tris Propane",7
"C0751",8,3,20,"% (w/v)","polyethylene glycol 1000",7
"C0752",8,1,0.1,"M","Cobalt (II) sulfate heptahydrate",6
"C0752",8,2,0.1,"M","MES monohydrate",6
"C0752",8,3,20,"% (w/v)","polyethylene glycol 1000",6
"C0753",8,1,0.1,"M","Cobalt (II) sulfate heptahydrate",5
"C0753",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0753",8,3,20,"% (w/v)","polyethylene glycol 1000",5
"C0754",8,1,0.1,"M","Lithium sulfate monohydrate",6
"C0754",8,2,0.1,"M","MES monohydrate",6
"C0754",8,3,20,"% (w/v)","polyethylene glycol 1000",6
"C0755",8,1,0.1,"M","Lithium sulfate monohydrate",7
"C0755",8,2,0.1,"M","Bis-Tris Propane",7
"C0755",8,3,20,"% (w/v)","polyethylene glycol 1000",7
"C0756",8,1,0.1,"M","Lithium sulfate monohydrate",9
"C0756",8,2,0.1,"M","TAPS",9
"C0756",8,3,20,"% (w/v)","polyethylene glycol 1000",9
"C0757",8,1,0.1,"M","Potassium phosphate tribasic",9
"C0757",8,2,0.1,"M","TAPS",9
"C0757",8,3,20,"% (w/v)","polyethylene glycol 1000",9
"C0758",8,1,0.1,"M","Potassium phosphate tribasic",7
"C0758",8,2,0.1,"M","Bis-Tris Propane",7
"C0758",8,3,20,"% (w/v)","polyethylene glycol 1000",7
"C0759",8,1,0.1,"M","Potassium phosphate tribasic",7.5
"C0759",8,2,0.1,"M","HEPES",7.5
"C0759",8,3,20,"% (w/v)","polyethylene glycol 1000",7.5
"C0760",8,1,0.1,"M","Ammonium thiocyanate",10
"C0760",8,2,0.1,"M","CAPS",10
"C0760",8,3,20,"% (w/v)","polyethylene glycol 1000",10
"C0761",8,1,0.1,"M","Ammonium thiocyanate",8
"C0761",8,2,0.1,"M","Tris",8
"C0761",8,3,20,"% (w/v)","polyethylene glycol 1000",8
"C0762",8,1,0.1,"M","Ammonium thiocyanate",7.5
"C0762",8,2,0.1,"M","HEPES",7.5
"C0762",8,3,20,"% (w/v)","polyethylene glycol 1000",7.5
"C0763",8,1,0.1,"M","Manganese sulfate monohydrate",4.2
"C0763",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0763",8,3,20,"% (w/v)","polyethylene glycol 1000",4.2
"C0764",8,1,0.1,"M","Manganese sulfate monohydrate",5
"C0764",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0764",8,3,20,"% (w/v)","polyethylene glycol 1000",5
"C0765",8,1,0.1,"M","Magnesium nitrate hexahydrate",8
"C0765",8,2,0.1,"M","Tris",8
"C0765",8,3,20,"% (w/v)","polyethylene glycol 1000",8
"C0766",8,1,0.1,"M","Magnesium nitrate hexahydrate",5
"C0766",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0766",8,3,20,"% (w/v)","polyethylene glycol 1000",5
"C0767",8,1,0.1,"M","Magnesium nitrate hexahydrate",7
"C0767",8,2,0.1,"M","Bis-Tris Propane",7
"C0767",8,3,20,"% (w/v)","polyethylene glycol 1000",7
"C0768",8,1,0.1,"M","Ammonium bromide",8
"C0768",8,2,0.1,"M","Tris",8
"C0768",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0769",8,1,0.1,"M","Ammonium bromide",5
"C0769",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0769",8,3,40,"% (w/v)","polyethylene glycol 1000",5
"C0770",8,1,0.1,"M","Ammonium chloride",8
"C0770",8,2,0.1,"M","Tris",8
"C0770",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0771",8,1,0.1,"M","Ammonium nitrate",7
"C0771",8,2,0.1,"M","Bis-Tris Propane",7
"C0771",8,3,40,"% (w/v)","polyethylene glycol 1000",7
"C0772",8,1,0.1,"M","Ammonium phosphate monobasic",10
"C0772",8,2,0.1,"M","CAPS",10
"C0772",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0773",8,1,0.1,"M","Ammonium phosphate monobasic",4.2
"C0773",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0773",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0774",8,1,0.1,"M","Ammonium phosphate monobasic",7.5
"C0774",8,2,0.1,"M","HEPES",7.5
"C0774",8,3,40,"% (w/v)","polyethylene glycol 1000",7.5
"C0775",8,1,0.1,"M","Ammonium phosphate monobasic",7
"C0775",8,2,0.1,"M","Bis-Tris Propane",7
"C0775",8,3,40,"% (w/v)","polyethylene glycol 1000",7
"C0776",8,1,0.1,"M","Ammonium phosphate dibasic",4.2
"C0776",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0776",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0777",8,1,0.1,"M","Ammonium sulfate",7
"C0777",8,2,0.1,"M","Bis-Tris Propane",7
"C0777",8,3,40,"% (w/v)","polyethylene glycol 1000",7
"C0778",8,1,0.1,"M","Ammonium sulfate",10
"C0778",8,2,0.1,"M","CAPS",10
"C0778",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0779",8,1,0.1,"M","Ammonium sulfate",8
"C0779",8,2,0.1,"M","Tris",8
"C0779",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0780",8,1,0.1,"M","Calcium acetate",5
"C0780",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0780",8,3,40,"% (w/v)","polyethylene glycol 1000",5
"C0781",8,1,0.1,"M","Calcium chloride dihydrate",7
"C0781",8,2,0.1,"M","Bis-Tris Propane",7
"C0781",8,3,40,"% (w/v)","polyethylene glycol 1000",7
"C0782",8,1,0.1,"M","Lithium bromide",6
"C0782",8,2,0.1,"M","MES monohydrate",6
"C0782",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0783",8,1,0.1,"M","Lithium bromide",4.2
"C0783",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0783",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0784",8,1,0.1,"M","Lithium bromide",8
"C0784",8,2,0.1,"M","Tris",8
"C0784",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0785",8,1,0.1,"M","Lithium bromide",9
"C0785",8,2,0.1,"M","TAPS",9
"C0785",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0786",8,1,0.1,"M","Lithium chloride",5
"C0786",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0786",8,3,40,"% (w/v)","polyethylene glycol 1000",5
"C0787",8,1,0.1,"M","Lithium chloride",9
"C0787",8,2,0.1,"M","TAPS",9
"C0787",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0788",8,1,0.1,"M","Lithium chloride",4.2
"C0788",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0788",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0789",8,1,0.1,"M","Lithium chloride",10
"C0789",8,2,0.1,"M","CAPS",10
"C0789",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0790",8,1,0.1,"M","Magnesium acetate tetrahydrate",8
"C0790",8,2,0.1,"M","Tris",8
"C0790",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0791",8,1,0.1,"M","Magnesium chloride hexahydrate",9
"C0791",8,2,0.1,"M","TAPS",9
"C0791",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0792",8,1,0.1,"M","Magnesium sulfate heptahydrate",9
"C0792",8,2,0.1,"M","TAPS",9
"C0792",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0793",8,1,0.1,"M","Manganese chloride tetrahydrate",5
"C0793",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0793",8,3,40,"% (w/v)","polyethylene glycol 1000",5
"C0794",8,1,0.1,"M","Manganese chloride tetrahydrate",6
"C0794",8,2,0.1,"M","MES monohydrate",6
"C0794",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0795",8,1,0.1,"M","Potassium acetate",7
"C0795",8,2,0.1,"M","Bis-Tris Propane",7
"C0795",8,3,40,"% (w/v)","polyethylene glycol 1000",7
"C0796",8,1,0.1,"M","Potassium acetate",6
"C0796",8,2,0.1,"M","MES monohydrate",6
"C0796",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0797",8,1,0.1,"M","Potassium bromide",5
"C0797",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0797",8,3,40,"% (w/v)","polyethylene glycol 1000",5
"C0798",8,1,0.1,"M","Potassium bromide",8
"C0798",8,2,0.1,"M","Tris",8
"C0798",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0799",8,1,0.1,"M","Potassium bromide",4.2
"C0799",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0799",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0800",8,1,0.1,"M","Potassium carbonate",10
"C0800",8,2,0.1,"M","CAPS",10
"C0800",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0801",8,1,0.1,"M","Potassium carbonate",4.2
"C0801",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0801",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0802",8,1,0.1,"M","Potassium carbonate",5
"C0802",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0802",8,3,40,"% (w/v)","polyethylene glycol 1000",5
"C0803",8,1,0.1,"M","Potassium carbonate",9
"C0803",8,2,0.1,"M","TAPS",9
"C0803",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0804",8,1,0.1,"M","Potassium chloride",10
"C0804",8,2,0.1,"M","CAPS",10
"C0804",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0805",8,1,0.1,"M","Potassium chloride",9
"C0805",8,2,0.1,"M","TAPS",9
"C0805",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0806",8,1,0.1,"M","Potassium chloride",7.5
"C0806",8,2,0.1,"M","HEPES",7.5
"C0806",8,3,40,"% (w/v)","polyethylene glycol 1000",7.5
"C0807",8,1,0.1,"M","Potassium nitrate",7.5
"C0807",8,2,0.1,"M","HEPES",7.5
"C0807",8,3,40,"% (w/v)","polyethylene glycol 1000",7.5
"C0808",8,1,0.1,"M","Potassium nitrate",4.2
"C0808",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0808",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0809",8,1,0.1,"M","Potassium phosphate monobasic",8
"C0809",8,2,0.1,"M","Tris",8
"C0809",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0810",8,1,0.1,"M","Potassium phosphate monobasic",4.2
"C0810",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0810",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0811",8,1,0.1,"M","Potassium thiocyanate",7.5
"C0811",8,2,0.1,"M","HEPES",7.5
"C0811",8,3,40,"% (w/v)","polyethylene glycol 1000",7.5
"C0812",8,1,0.1,"M","Potassium thiocyanate",6
"C0812",8,2,0.1,"M","MES monohydrate",6
"C0812",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0813",8,1,0.1,"M","Rubidium chloride",4.2
"C0813",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0813",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0814",8,1,0.1,"M","Rubidium chloride",8
"C0814",8,2,0.1,"M","Tris",8
"C0814",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0815",8,1,0.1,"M","Rubidium chloride",6
"C0815",8,2,0.1,"M","MES monohydrate",6
"C0815",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0816",8,1,0.1,"M","Sodium bromide",10
"C0816",8,2,0.1,"M","CAPS",10
"C0816",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0817",8,1,0.1,"M","Sodium bromide",9
"C0817",8,2,0.1,"M","TAPS",9
"C0817",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0818",8,1,0.1,"M","Sodium chloride",8
"C0818",8,2,0.1,"M","Tris",8
"C0818",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0819",8,1,0.1,"M","Sodium chloride",10
"C0819",8,2,0.1,"M","CAPS",10
"C0819",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0820",8,1,0.1,"M","Sodium molybdate dihydrate",7.5
"C0820",8,2,0.1,"M","HEPES",7.5
"C0820",8,3,40,"% (w/v)","polyethylene glycol 1000",7.5
"C0821",8,1,0.1,"M","Sodium molybdate dihydrate",8
"C0821",8,2,0.1,"M","Tris",8
"C0821",8,3,20,"% (w/v)","polyethylene glycol 1000",8
"C0822",8,1,0.1,"M","Sodium nitrate",4.2
"C0822",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0822",8,3,40,"% (w/v)","polyethylene glycol 1000",4.2
"C0823",8,1,0.1,"M","Sodium nitrate",10
"C0823",8,2,0.1,"M","CAPS",10
"C0823",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0824",8,1,0.1,"M","Sodium phosphate monobasic",6
"C0824",8,2,0.1,"M","MES monohydrate",6
"C0824",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0825",8,1,0.1,"M","Zinc acetate dihydrate",5
"C0825",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0825",8,3,40,"% (w/v)","polyethylene glycol 1000",5
"C0826",8,1,0.1,"M","Zinc acetate dihydrate",8
"C0826",8,2,0.1,"M","Tris",8
"C0826",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0827",8,1,0.2,"M","Magnesium acetate tetrahydrate",6.5
"C0827",8,2,30,"% (v/v)","MPD",6.5
"C0827",8,3,0.1,"M","Sodium cacodylate trihydrate",6.5
"C0828",8,1,0.1,"M","Potassium phosphate dibasic anhydrous",7
"C0828",8,2,0.1,"M","Bis-Tris Propane",7
"C0828",8,3,40,"% (w/v)","polyethylene glycol 1000",7
"C0829",8,1,0.1,"M","Lithium sulfate monohydrate",8
"C0829",8,2,0.1,"M","Tris",8
"C0829",8,3,40,"% (w/v)","polyethylene glycol 1000",8
"C0830",8,1,0.1,"M","Lithium sulfate monohydrate",6
"C0830",8,2,0.1,"M","MES monohydrate",6
"C0830",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0831",8,1,0.1,"M","Lithium sulfate monohydrate",10
"C0831",8,2,0.1,"M","CAPS",10
"C0831",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0832",8,1,0.1,"M","Potassium phosphate tribasic",7.5
"C0832",8,2,0.1,"M","HEPES",7.5
"C0832",8,3,40,"% (w/v)","polyethylene glycol 1000",7.5
"C0833",8,1,0.1,"M","Potassium phosphate tribasic",6
"C0833",8,2,0.1,"M","MES monohydrate",6
"C0833",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0834",8,1,0.1,"M","Ammonium thiocyanate",9
"C0834",8,2,0.1,"M","TAPS",9
"C0834",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0835",8,1,0.1,"M","Ammonium thiocyanate",10
"C0835",8,2,0.1,"M","CAPS",10
"C0835",8,3,40,"% (w/v)","polyethylene glycol 1000",10
"C0836",8,1,0.1,"M","Ammonium thiocyanate",7
"C0836",8,2,0.1,"M","Bis-Tris Propane",7
"C0836",8,3,40,"% (w/v)","polyethylene glycol 1000",7
"C0837",8,1,0.1,"M","Manganese sulfate monohydrate",6
"C0837",8,2,0.1,"M","MES monohydrate",6
"C0837",8,3,40,"% (w/v)","polyethylene glycol 1000",6
"C0838",8,1,0.1,"M","Manganese sulfate monohydrate",7
"C0838",8,2,0.1,"M","Bis-Tris Propane",7
"C0838",8,3,40,"% (w/v)","polyethylene glycol 1000",7
"C0839",8,1,0.1,"M","Magnesium nitrate hexahydrate",9
"C0839",8,2,0.1,"M","TAPS",9
"C0839",8,3,40,"% (w/v)","polyethylene glycol 1000",9
"C0840",8,1,0.1,"M","Ammonium bromide",8
"C0840",8,2,0.1,"M","Tris",8
"C0840",8,3,40,"% (v/v)","polyethylene glycol 400",8
"C0841",8,1,0.1,"M","Ammonium bromide",4.2
"C0841",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0841",8,3,40,"% (v/v)","polyethylene glycol 400",4.2
"C0842",8,1,0.1,"M","Ammonium chloride",6
"C0842",8,2,0.1,"M","MES monohydrate",6
"C0842",8,3,40,"% (v/v)","polyethylene glycol 400",6
"C0843",8,1,0.1,"M","Ammonium chloride",10
"C0843",8,2,0.1,"M","CAPS",10
"C0843",8,3,40,"% (v/v)","polyethylene glycol 400",10
"C0844",8,1,0.1,"M","Ammonium nitrate",7
"C0844",8,2,0.1,"M","Bis-Tris Propane",7
"C0844",8,3,40,"% (v/v)","polyethylene glycol 400",7
"C0845",8,1,0.1,"M","Ammonium nitrate",5
"C0845",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0845",8,3,40,"% (v/v)","polyethylene glycol 400",5
"C0846",8,1,0.1,"M","Ammonium phosphate monobasic",5
"C0846",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0846",8,3,40,"% (v/v)","polyethylene glycol 400",5
"C0847",8,1,0.1,"M","Ammonium phosphate monobasic",7.5
"C0847",8,2,0.1,"M","HEPES",7.5
"C0847",8,3,40,"% (v/v)","polyethylene glycol 400",7.5
"C0848",8,1,0.1,"M","Ammonium phosphate dibasic",8
"C0848",8,2,0.1,"M","Tris",8
"C0848",8,3,40,"% (v/v)","polyethylene glycol 400",8
"C0849",8,1,0.1,"M","Ammonium sulfate",7
"C0849",8,2,0.1,"M","Bis-Tris Propane",7
"C0849",8,3,40,"% (v/v)","polyethylene glycol 400",7
"C0850",8,1,0.1,"M","Ammonium sulfate",7.5
"C0850",8,2,0.1,"M","HEPES",7.5
"C0850",8,3,40,"% (v/v)","polyethylene glycol 400",7.5
"C0851",8,1,0.1,"M","Calcium acetate",5
"C0851",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0851",8,3,40,"% (v/v)","polyethylene glycol 400",5
"C0852",8,1,0.1,"M","Calcium acetate",7.5
"C0852",8,2,0.1,"M","HEPES",7.5
"C0852",8,3,40,"% (v/v)","polyethylene glycol 400",7.5
"C0853",8,1,0.1,"M","Calcium acetate",6
"C0853",8,2,0.1,"M","MES monohydrate",6
"C0853",8,3,40,"% (v/v)","polyethylene glycol 400",6
"C0854",8,1,0.1,"M","Calcium chloride dihydrate",7.5
"C0854",8,2,0.1,"M","HEPES",7.5
"C0854",8,3,40,"% (v/v)","polyethylene glycol 400",7.5
"C0855",8,1,0.17,"M","Sodium acetate trihydrate",8.5
"C0855",8,2,0.09,"M","Tris HCl",8.5
"C0855",8,3,25.5,"% (w/v)","polyethylene glycol 4000",8.5
"C0855",8,4,15,"% (v/v)","Glycerol anhydrous",8.5
"C0856",8,1,0.1,"M","Lithium bromide",6
"C0856",8,2,0.1,"M","MES monohydrate",6
"C0856",8,3,40,"% (v/v)","polyethylene glycol 400",6
"C0857",8,1,0.1,"M","Lithium bromide",4.2
"C0857",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0857",8,3,40,"% (v/v)","polyethylene glycol 400",4.2
"C0858",8,1,0.1,"M","Lithium bromide",8
"C0858",8,2,0.1,"M","Tris",8
"C0858",8,3,40,"% (v/v)","polyethylene glycol 400",8
"C0859",8,1,0.1,"M","Lithium bromide",9
"C0859",8,2,0.1,"M","TAPS",9
"C0859",8,3,40,"% (v/v)","polyethylene glycol 400",9
"C0860",8,1,0.1,"M","Lithium chloride",7
"C0860",8,2,0.1,"M","Bis-Tris Propane",7
"C0860",8,3,40,"% (v/v)","polyethylene glycol 400",7
"C0861",8,1,0.1,"M","Magnesium acetate tetrahydrate",5
"C0861",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0861",8,3,40,"% (v/v)","polyethylene glycol 400",5
"C0862",8,1,0.1,"M","Magnesium chloride hexahydrate",6
"C0862",8,2,0.1,"M","MES monohydrate",6
"C0862",8,3,40,"% (v/v)","polyethylene glycol 400",6
"C0863",8,1,0.1,"M","Magnesium sulfate heptahydrate",6
"C0863",8,2,0.1,"M","MES monohydrate",6
"C0863",8,3,40,"% (v/v)","polyethylene glycol 400",6
"C0864",8,1,0.1,"M","Magnesium sulfate heptahydrate",7
"C0864",8,2,0.1,"M","Bis-Tris Propane",7
"C0864",8,3,40,"% (v/v)","polyethylene glycol 400",7
"C0865",8,1,0.1,"M","Potassium acetate",10
"C0865",8,2,0.1,"M","CAPS",10
"C0865",8,3,40,"% (v/v)","polyethylene glycol 400",10
"C0866",8,1,0.1,"M","Potassium bromide",7
"C0866",8,2,0.1,"M","Bis-Tris Propane",7
"C0866",8,3,40,"% (v/v)","polyethylene glycol 400",7
"C0867",8,1,0.1,"M","Potassium bromide",7.5
"C0867",8,2,0.1,"M","HEPES",7.5
"C0867",8,3,40,"% (v/v)","polyethylene glycol 400",7.5
"C0868",8,1,0.1,"M","Potassium bromide",6
"C0868",8,2,0.1,"M","MES monohydrate",6
"C0868",8,3,40,"% (v/v)","polyethylene glycol 400",6
"C0869",8,1,0.1,"M","Potassium bromide",4.2
"C0869",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0869",8,3,40,"% (v/v)","polyethylene glycol 400",4.2
"C0870",8,1,0.1,"M","Potassium carbonate",9
"C0870",8,2,0.1,"M","TAPS",9
"C0870",8,3,40,"% (v/v)","polyethylene glycol 400",9
"C0871",8,1,0.1,"M","Potassium carbonate",5
"C0871",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0871",8,3,40,"% (v/v)","polyethylene glycol 400",5
"C0872",8,1,0.1,"M","Potassium carbonate",7
"C0872",8,2,0.1,"M","Bis-Tris Propane",7
"C0872",8,3,40,"% (v/v)","polyethylene glycol 400",7
"C0873",8,1,0.1,"M","Potassium chloride",4.2
"C0873",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0873",8,3,40,"% (v/v)","polyethylene glycol 400",4.2
"C0874",8,1,0.1,"M","Potassium chloride",6
"C0874",8,2,0.1,"M","MES monohydrate",6
"C0874",8,3,40,"% (v/v)","polyethylene glycol 400",6
"C0875",8,1,0.1,"M","Potassium nitrate",7.5
"C0875",8,2,0.1,"M","HEPES",7.5
"C0875",8,3,40,"% (v/v)","polyethylene glycol 400",7.5
"C0876",8,1,0.1,"M","Potassium nitrate",9
"C0876",8,2,0.1,"M","TAPS",9
"C0876",8,3,40,"% (v/v)","polyethylene glycol 400",9
"C0877",8,1,0.1,"M","Potassium nitrate",6
"C0877",8,2,0.1,"M","MES monohydrate",6
"C0877",8,3,40,"% (v/v)","polyethylene glycol 400",6
"C0878",8,1,0.1,"M","Potassium phosphate monobasic",7
"C0878",8,2,0.1,"M","Bis-Tris Propane",7
"C0878",8,3,40,"% (v/v)","polyethylene glycol 400",7
"C0879",8,1,0.1,"M","Potassium phosphate monobasic",10
"C0879",8,2,0.1,"M","CAPS",10
"C0879",8,3,40,"% (v/v)","polyethylene glycol 400",10
"C0880",8,1,0.1,"M","Sodium citrate tribasic dihydrate",5.6
"C0880",8,2,30,"% (v/v)","MPD",5.6
"C0880",8,3,0.2,"M","Ammonium acetate",5.6
"C0881",8,1,0.1,"M","Potassium phosphate monobasic",9
"C0881",8,2,0.1,"M","TAPS",9
"C0881",8,3,40,"% (v/v)","polyethylene glycol 400",9
"C0882",8,1,0.1,"M","Potassium thiocyanate",10
"C0882",8,2,0.1,"M","CAPS",10
"C0882",8,3,40,"% (v/v)","polyethylene glycol 400",10
"C0883",8,1,0.1,"M","Potassium thiocyanate",4.2
"C0883",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0883",8,3,40,"% (v/v)","polyethylene glycol 400",4.2
"C0884",8,1,0.1,"M","Potassium thiocyanate",9
"C0884",8,2,0.1,"M","TAPS",9
"C0884",8,3,40,"% (v/v)","polyethylene glycol 400",9
"C0885",8,1,0.1,"M","Rubidium chloride",4.2
"C0885",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0885",8,3,40,"% (v/v)","polyethylene glycol 400",4.2
"C0886",8,1,0.1,"M","Rubidium chloride",7
"C0886",8,2,0.1,"M","Bis-Tris Propane",7
"C0886",8,3,40,"% (v/v)","polyethylene glycol 400",7
"C0887",8,1,0.1,"M","Rubidium chloride",5
